
['2015, 05, 20, 11, 35, 39, 895', u'164.00', u'0.80', u'136.13']
['2015, 05, 20, 11, 35, 40, 900', u'138.00', u'0.67', u'114.55']
['2015, 05, 20, 11, 35, 41, 905', u'176.00', u'0.86', u'146.09']
['2015, 05, 20, 11, 35, 42, 910', u'173.00', u'0.84', u'143.60']
['2015, 05, 20, 11, 35, 43, 913', u'150.00', u'0.73', u'124.51']
['2015, 05, 20, 11, 35, 44, 919', u'164.00', u'0.80', u'136.13']
['2015, 05, 20, 11, 35, 45, 921', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 35, 46, 925', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 35, 47, 928', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 35, 48, 933', u'175.00', u'0.85', u'145.26']
['2015, 05, 20, 11, 35, 49, 937', u'163.00', u'0.80', u'135.30']
['2015, 05, 20, 11, 35, 50, 941', u'158.00', u'0.77', u'131.15']
['2015, 05, 20, 11, 35, 51, 945', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 35, 52, 950', u'164.00', u'0.80', u'136.13']
['2015, 05, 20, 11, 35, 53, 958', u'167.00', u'0.82', u'138.62']
['2015, 05, 20, 11, 35, 54, 963', u'184.00', u'0.90', u'152.73']
['2015, 05, 20, 11, 35, 55, 968', u'172.00', u'0.84', u'142.77']
['2015, 05, 20, 11, 35, 56, 976', u'157.00', u'0.77', u'130.32']
['2015, 05, 20, 11, 35, 57, 979', u'152.00', u'0.74', u'126.17']
['2015, 05, 20, 11, 35, 58, 985', u'190.00', u'0.93', u'157.71']
['2015, 05, 20, 11, 35, 59, 993', u'173.00', u'0.84', u'143.60']
['2015, 05, 20, 11, 36, 01, 001', u'158.00', u'0.77', u'131.15']
['2015, 05, 20, 11, 36, 02, 007', u'149.00', u'0.73', u'123.68']
['2015, 05, 20, 11, 36, 03, 012', u'159.00', u'0.78', u'131.98']
['2015, 05, 20, 11, 36, 04, 016', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 36, 05, 024', u'134.00', u'0.65', u'111.23']
['2015, 05, 20, 11, 36, 06, 031', u'154.00', u'0.75', u'127.83']
['2015, 05, 20, 11, 36, 07, 039', u'177.00', u'0.86', u'146.92']
['2015, 05, 20, 11, 36, 08, 047', u'163.00', u'0.80', u'135.30']
['2015, 05, 20, 11, 36, 09, 052', u'174.00', u'0.85', u'144.43']
['2015, 05, 20, 11, 36, 10, 059', u'153.00', u'0.75', u'127.00']
['2015, 05, 20, 11, 36, 11, 066', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 36, 12, 074', u'176.00', u'0.86', u'146.09']
['2015, 05, 20, 11, 36, 13, 081', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 36, 14, 084', u'156.00', u'0.76', u'129.49']
['2015, 05, 20, 11, 36, 15, 091', u'163.00', u'0.80', u'135.30']
['2015, 05, 20, 11, 36, 16, 097', u'167.00', u'0.82', u'138.62']
['2015, 05, 20, 11, 36, 17, 105', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 36, 18, 111', u'154.00', u'0.75', u'127.83']
['2015, 05, 20, 11, 36, 19, 114', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 36, 20, 119', u'147.00', u'0.72', u'122.02']
['2015, 05, 20, 11, 36, 21, 123', u'170.00', u'0.83', u'141.11']
['2015, 05, 20, 11, 36, 22, 125', u'152.00', u'0.74', u'126.17']
['2015, 05, 20, 11, 36, 23, 131', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 36, 24, 138', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 36, 25, 141', u'191.00', u'0.93', u'158.54']
['2015, 05, 20, 11, 36, 26, 143', u'154.00', u'0.75', u'127.83']
['2015, 05, 20, 11, 36, 27, 145', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 36, 28, 151', u'170.00', u'0.83', u'141.11']
['2015, 05, 20, 11, 36, 29, 156', u'187.00', u'0.91', u'155.22']
['2015, 05, 20, 11, 36, 30, 162', u'174.00', u'0.85', u'144.43']
['2015, 05, 20, 11, 36, 31, 166', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 36, 32, 171', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 36, 33, 174', u'179.00', u'0.87', u'148.58']
['2015, 05, 20, 11, 36, 34, 181', u'150.00', u'0.73', u'124.51']
['2015, 05, 20, 11, 36, 35, 189', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 36, 36, 192', u'174.00', u'0.85', u'144.43']
['2015, 05, 20, 11, 36, 37, 197', u'142.00', u'0.69', u'117.87']
['2015, 05, 20, 11, 36, 38, 201', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 36, 39, 203', u'154.00', u'0.75', u'127.83']
['2015, 05, 20, 11, 36, 40, 205', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 36, 41, 211', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 36, 42, 217', u'167.00', u'0.82', u'138.62']
['2015, 05, 20, 11, 36, 43, 222', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 36, 44, 229', u'175.00', u'0.85', u'145.26']
['2015, 05, 20, 11, 36, 45, 236', u'149.00', u'0.73', u'123.68']
['2015, 05, 20, 11, 36, 46, 239', u'164.00', u'0.80', u'136.13']
['2015, 05, 20, 11, 36, 47, 242', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 36, 48, 249', u'151.00', u'0.74', u'125.34']
['2015, 05, 20, 11, 36, 49, 254', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 36, 50, 260', u'162.00', u'0.79', u'134.47']
['2015, 05, 20, 11, 36, 51, 267', u'144.00', u'0.70', u'119.53']
['2015, 05, 20, 11, 36, 52, 271', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 36, 53, 275', u'162.00', u'0.79', u'134.47']
['2015, 05, 20, 11, 36, 54, 281', u'176.00', u'0.86', u'146.09']
['2015, 05, 20, 11, 36, 55, 289', u'146.00', u'0.71', u'121.19']
['2015, 05, 20, 11, 36, 56, 293', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 36, 57, 300', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 36, 58, 304', u'172.00', u'0.84', u'142.77']
['2015, 05, 20, 11, 36, 59, 312', u'190.00', u'0.93', u'157.71']
['2015, 05, 20, 11, 37, 00, 319', u'174.00', u'0.85', u'144.43']
['2015, 05, 20, 11, 37, 01, 325', u'179.00', u'0.87', u'148.58']
['2015, 05, 20, 11, 37, 02, 327', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 37, 03, 331', u'157.00', u'0.77', u'130.32']
['2015, 05, 20, 11, 37, 04, 338', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 37, 05, 340', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 37, 06, 346', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 37, 07, 353', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 37, 08, 357', u'170.00', u'0.83', u'141.11']
['2015, 05, 20, 11, 37, 09, 359', u'173.00', u'0.84', u'143.60']
['2015, 05, 20, 11, 37, 10, 366', u'178.00', u'0.87', u'147.75']
['2015, 05, 20, 11, 37, 13, 575', u'167.00', u'0.82', u'138.62']
['2015, 05, 20, 11, 37, 14, 583', u'170.00', u'0.83', u'141.11']
['2015, 05, 20, 11, 37, 15, 589', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 37, 16, 591', u'146.00', u'0.71', u'121.19']
['2015, 05, 20, 11, 37, 17, 598', u'143.00', u'0.70', u'118.70']
['2015, 05, 20, 11, 37, 18, 605', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 37, 19, 612', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 37, 20, 619', u'157.00', u'0.77', u'130.32']
['2015, 05, 20, 11, 37, 21, 627', u'147.00', u'0.72', u'122.02']
['2015, 05, 20, 11, 37, 22, 634', u'173.00', u'0.84', u'143.60']
['2015, 05, 20, 11, 37, 23, 640', u'157.00', u'0.77', u'130.32']
['2015, 05, 20, 11, 37, 24, 647', u'174.00', u'0.85', u'144.43']
['2015, 05, 20, 11, 37, 25, 653', u'185.00', u'0.90', u'153.56']
['2015, 05, 20, 11, 37, 26, 656', u'154.00', u'0.75', u'127.83']
['2015, 05, 20, 11, 37, 27, 663', u'131.00', u'0.64', u'108.74']
['2015, 05, 20, 11, 37, 28, 671', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 37, 29, 674', u'168.00', u'0.82', u'139.45']
['2015, 05, 20, 11, 37, 30, 682', u'162.00', u'0.79', u'134.47']
['2015, 05, 20, 11, 37, 31, 690', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 37, 32, 692', u'170.00', u'0.83', u'141.11']
['2015, 05, 20, 11, 37, 33, 700', u'178.00', u'0.87', u'147.75']
['2015, 05, 20, 11, 37, 34, 708', u'184.00', u'0.90', u'152.73']
['2015, 05, 20, 11, 37, 35, 714', u'141.00', u'0.69', u'117.04']
['2015, 05, 20, 11, 37, 36, 722', u'168.00', u'0.82', u'139.45']
['2015, 05, 20, 11, 37, 37, 729', u'184.00', u'0.90', u'152.73']
['2015, 05, 20, 11, 37, 38, 736', u'158.00', u'0.77', u'131.15']
['2015, 05, 20, 11, 37, 39, 739', u'152.00', u'0.74', u'126.17']
['2015, 05, 20, 11, 37, 40, 747', u'172.00', u'0.84', u'142.77']
['2015, 05, 20, 11, 37, 41, 754', u'173.00', u'0.84', u'143.60']
['2015, 05, 20, 11, 37, 42, 760', u'185.00', u'0.90', u'153.56']
['2015, 05, 20, 11, 37, 43, 764', u'152.00', u'0.74', u'126.17']
['2015, 05, 20, 11, 37, 44, 770', u'156.00', u'0.76', u'129.49']
['2015, 05, 20, 11, 37, 45, 778', u'175.00', u'0.85', u'145.26']
['2015, 05, 20, 11, 37, 46, 782', u'187.00', u'0.91', u'155.22']
['2015, 05, 20, 11, 37, 47, 789', u'146.00', u'0.71', u'121.19']
['2015, 05, 20, 11, 37, 48, 791', u'174.00', u'0.85', u'144.43']
['2015, 05, 20, 11, 37, 49, 798', u'155.00', u'0.76', u'128.66']
['2015, 05, 20, 11, 37, 50, 804', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 37, 51, 807', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 37, 52, 813', u'141.00', u'0.69', u'117.04']
['2015, 05, 20, 11, 37, 53, 820', u'153.00', u'0.75', u'127.00']
['2015, 05, 20, 11, 37, 54, 823', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 37, 55, 828', u'178.00', u'0.87', u'147.75']
['2015, 05, 20, 11, 37, 56, 833', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 37, 57, 837', u'164.00', u'0.80', u'136.13']
['2015, 05, 20, 11, 37, 58, 840', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 37, 59, 844', u'158.00', u'0.77', u'131.15']
['2015, 05, 20, 11, 38, 00, 847', u'168.00', u'0.82', u'139.45']
['2015, 05, 20, 11, 38, 01, 851', u'167.00', u'0.82', u'138.62']
['2015, 05, 20, 11, 38, 02, 854', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 38, 03, 856', u'175.00', u'0.85', u'145.26']
['2015, 05, 20, 11, 38, 04, 859', u'175.00', u'0.85', u'145.26']
['2015, 05, 20, 11, 38, 05, 863', u'155.00', u'0.76', u'128.66']
['2015, 05, 20, 11, 38, 06, 869', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 38, 07, 876', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 38, 08, 878', u'153.00', u'0.75', u'127.00']
['2015, 05, 20, 11, 38, 09, 881', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 38, 10, 887', u'164.00', u'0.80', u'136.13']
['2015, 05, 20, 11, 38, 11, 894', u'179.00', u'0.87', u'148.58']
['2015, 05, 20, 11, 38, 12, 901', u'182.00', u'0.89', u'151.07']
['2015, 05, 20, 11, 38, 13, 904', u'142.00', u'0.69', u'117.87']
['2015, 05, 20, 11, 38, 14, 911', u'148.00', u'0.72', u'122.85']
['2015, 05, 20, 11, 38, 15, 915', u'157.00', u'0.77', u'130.32']
['2015, 05, 20, 11, 38, 16, 919', u'149.00', u'0.73', u'123.68']
['2015, 05, 20, 11, 38, 17, 926', u'150.00', u'0.73', u'124.51']
['2015, 05, 20, 11, 38, 18, 930', u'171.00', u'0.83', u'141.94']
['2015, 05, 20, 11, 38, 19, 937', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 38, 20, 944', u'177.00', u'0.86', u'146.92']
['2015, 05, 20, 11, 38, 21, 950', u'162.00', u'0.79', u'134.47']
['2015, 05, 20, 11, 38, 22, 954', u'195.00', u'0.95', u'161.87']
['2015, 05, 20, 11, 38, 23, 961', u'192.00', u'0.94', u'159.38']
['2015, 05, 20, 11, 38, 24, 967', u'183.00', u'0.89', u'151.90']
['2015, 05, 20, 11, 38, 25, 970', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 38, 26, 974', u'182.00', u'0.89', u'151.07']
['2015, 05, 20, 11, 38, 27, 981', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 38, 28, 984', u'151.00', u'0.74', u'125.34']
['2015, 05, 20, 11, 38, 29, 989', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 38, 30, 990', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 38, 31, 997', u'170.00', u'0.83', u'141.11']
['2015, 05, 20, 11, 38, 33, 004', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 38, 34, 010', u'160.00', u'0.78', u'132.81']
['2015, 05, 20, 11, 38, 35, 017', u'168.00', u'0.82', u'139.45']
['2015, 05, 20, 11, 38, 36, 022', u'177.00', u'0.86', u'146.92']
['2015, 05, 20, 11, 38, 37, 030', u'168.00', u'0.82', u'139.45']
['2015, 05, 20, 11, 38, 38, 033', u'158.00', u'0.77', u'131.15']
['2015, 05, 20, 11, 38, 39, 039', u'153.00', u'0.75', u'127.00']
['2015, 05, 20, 11, 38, 40, 042', u'156.00', u'0.76', u'129.49']
['2015, 05, 20, 11, 38, 41, 048', u'164.00', u'0.80', u'136.13']
['2015, 05, 20, 11, 38, 42, 050', u'173.00', u'0.84', u'143.60']
['2015, 05, 20, 11, 38, 43, 057', u'167.00', u'0.82', u'138.62']
['2015, 05, 20, 11, 38, 44, 059', u'186.00', u'0.91', u'154.39']
['2015, 05, 20, 11, 38, 45, 062', u'155.00', u'0.76', u'128.66']
['2015, 05, 20, 11, 38, 46, 063', u'148.00', u'0.72', u'122.85']
['2015, 05, 20, 11, 38, 47, 066', u'167.00', u'0.82', u'138.62']
['2015, 05, 20, 11, 38, 48, 068', u'155.00', u'0.76', u'128.66']
['2015, 05, 20, 11, 38, 49, 074', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 38, 50, 077', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 38, 51, 083', u'163.00', u'0.80', u'135.30']
['2015, 05, 20, 11, 38, 52, 089', u'169.00', u'0.83', u'140.28']
['2015, 05, 20, 11, 38, 53, 096', u'165.00', u'0.81', u'136.96']
['2015, 05, 20, 11, 38, 54, 102', u'176.00', u'0.86', u'146.09']
['2015, 05, 20, 11, 38, 55, 109', u'178.00', u'0.87', u'147.75']
['2015, 05, 20, 11, 38, 56, 116', u'161.00', u'0.79', u'133.64']
['2015, 05, 20, 11, 38, 57, 122', u'185.00', u'0.90', u'153.56']
['2015, 05, 20, 11, 38, 58, 127', u'163.00', u'0.80', u'135.30']
['2015, 05, 20, 11, 38, 59, 133', u'174.00', u'0.85', u'144.43']
['2015, 05, 20, 11, 39, 00, 140', u'148.00', u'0.72', u'122.85']
['2015, 05, 20, 11, 39, 01, 144', u'157.00', u'0.77', u'130.32']
['2015, 05, 20, 11, 39, 02, 146', u'177.00', u'0.86', u'146.92']
['2015, 05, 20, 11, 39, 03, 151', u'166.00', u'0.81', u'137.79']
['2015, 05, 20, 11, 39, 04, 154', u'168.00', u'0.82', u'139.45']
